exp,lr,wd,alpha,beta,best_val_loss,best_val_miou,final_val_f1
1,0.0003218563541785366,0.0008069833984619174,1.01,0.96,0.7072197123249965,0.20040661096572876,0.2871268093585968
2,5.710929320210854e-05,0.0008409237367437449,1.31,1.22,0.8368919100334395,0.2632353901863098,0.36918893456459045
3,0.00012442817011715698,0.004294439134924567,1.25,1.08,0.7969603151527803,0.24876946210861206,0.35023826360702515
4,5.549576047816512e-05,0.000488717322872867,0.56,1.49,0.4945112244406743,0.27010858058929443,0.3807617127895355
5,0.00043008352168774633,0.00013741631314575131,1.43,0.53,0.8932627750866449,0.20285427570343018,0.29277151823043823
6,0.00012818492102561755,0.0034509933718684447,1.27,1.48,0.868549261520158,0.2543840706348419,0.3552247881889343
7,0.00022123346553040065,0.0006929850695196589,1.49,0.88,0.891918745058686,0.24927760660648346,0.3513970673084259
8,0.0003703311891015018,0.006509305025898634,0.88,1.18,1.0402687903660446,0.03121792897582054,0.04254738986492157
9,0.0002294893534826056,0.0011983964885970094,1.15,0.85,0.7328308424842891,0.2315124273300171,0.3267500102519989
10,7.541255122762929e-05,0.00118718109672597,1.03,1.23,0.688617063992059,0.28174102306365967,0.39491650462150574
11,8.349495217769299e-05,0.00010161237209461783,0.52,0.8,0.3711751114521454,0.2749285399913788,0.3858250081539154
12,0.0002357598584612059,0.001227130295244299,1.03,1.32,0.7314981279978111,0.22756247222423553,0.32181990146636963
13,8.8406061440426e-05,0.0004924016164693029,0.78,1.44,0.5824687547648131,0.2858169376850128,0.39899784326553345
14,0.0002654568583376337,0.00016814705973762042,1.31,0.92,0.8153453197941851,0.23998674750328064,0.3378821611404419
15,0.00029175846933233345,0.005854815901483746,0.52,0.71,0.6284136536406048,0.022593488916754723,0.031191855669021606
16,6.307637368753383e-05,0.00011672195459007385,1.1,1.2,0.7245084541057473,0.2734713554382324,0.3832330107688904
17,5.59301939808059e-05,0.003027486093742832,0.9,0.73,0.5746024242087976,0.2705211341381073,0.3788847327232361
18,8.245921850313882e-05,0.005339006939467506,0.56,1.0,0.4387707220974253,0.2476901262998581,0.34676405787467957
19,9.732702661637964e-05,0.00428126897352657,1.23,0.82,0.7466629957085225,0.26217982172966003,0.3658968210220337
20,0.0001981014610626457,0.0022134198626550202,0.82,0.8,0.558340560811669,0.22265498340129852,0.3154419958591461
